Area,Year,Top10,Top5,Top1,Top0.5,Top0.1,Top0.01,Atkin05,Gini,RMeanDev,Theil,Small Businesses As % of Total Number of Businesses,Small Business Share of Employment,Total Firms Per Capita,HighSchool Grads As % of Total Population,College Grads As % of Total Population,Real GDP Per Capita,Real GDP Per Capita (% Change),Real GDP in Millions of 2009 US Dollars,Real GDP (% Change)," Agriculture, Forestry & Fishing (Millions of US Dollars) ", All Industry Total , Construction ," Finance, Insurance & Real Estate ", Government , Manufacturing , Mining , Retail Trade , Services ,Transportation and public utilities,Wholesale trade,Agshare,Constructionshare,FIREshare,Governmentshare,Manufacturingshare,Miningshare, RetailTradeshare , Serviceshare ,Transhare,Wholesaleshare,Numberofpoor,Povertyrate, % Union Members Total , % Union Coverage Total , % Union Members Private Construction , % Union Coverage Private Construction , % Union Members Private Manufacturing , % Union Coverage Private Manufacturing , % Union Members Private , % Union Coverage Private , % Union Members Public , % Union Coverage Public , Right to Work Dummy , Population , Land Area (Sq. Miles) , Density (People per Sq. Mile) , Ethnic Minorities as a Percentage of Total Pop ,Total Revenue,Total Taxes,Total Gen Sales Tax (T09),Total Select Sales Tax,Total Income Taxes,Individual Income Tax (T40),Corp Net Income Tax (T41),Total Expenditure,Public Welf-Total Exp,Construction,Manufacturing,Forestry & Fishing,Wholesale Trade,Retail Trade,"Finance, Insurance & Real Estate",Mining,Transportation and Utilities,Services,Government & Government Enterprises,Personal Income,Incorporated Self Employed,Un-incorporated Self Employed,Total Self Employed
Illinois,1991,39.93,28.27,14.30,10.55,5.46,2.11,0.24,0.57,0.79,0.73,96.14,0.367712268, 0.0202266 ,60.43%,16.54%,36244.81693,-1.1,418119.2295,-0.1," 3,299.00 "," 288,473.00 "," 12,352.00 "," 60,496.00 "," 29,266.00 "," 52,488.00 "," 1,553.00 ",23881,55403,26350,23386,0.011436079,0.042818565,0.209711134,0.101451436,0.18195117,0.005383519,0.082784177,0.192056102,0.091343037,0.081068246,1857,15.6,21.0,22.6,43.9,48.4,26.4,27.1,16.2,17.3,47.6,52.5, -   ,11535973," 57,914 ", 199.19 ,0.178930984,25092123,13291517,4163801,2468706,5479304,4538545,940759,24619161,4860235,10553245,38297315,818917,14951117,15924176,16897324,982655,13553953,48166732,27724543,245973750,"145,089","377,368",522457
Indiana,1991,36.99,24.82,11.13,8.20,4.04,1.44,0.21,0.54,0.75,0.57,95.44,0.371126225, 0.0190913 ,56.22%,9.97%,29660.04951,-1,166157.4363,0," 1,529.00 "," 114,637.00 "," 5,226.00 "," 16,575.00 "," 13,113.00 "," 32,866.00 ", 650.00 ,10327,17381,10140,6830,0.013337753,0.045587376,0.144586826,0.114387152,0.286696267,0.005670072,0.090084353,0.151617715,0.088453117,0.059579368,661,11.8,19.3,20.9,37.1,37.1,36.2,36.9,18.4,19.1,25.0,32.1, -   ,5602062," 36,420 ", 153.82 ,0.088385312,12288307,6182409,2538335,846921,2494366,2183972,310394,11734265,2271725,4689117,23843544,299308,4314116,7079361,3781194,396429,5092110,15399178,11273238,101120415,"56,944","192,883",249827
Iowa,1991,34.62,22.64,9.87,7.00,3.41,1.16,0.20,0.55,0.75,0.53,96.07,0.426725157, 0.0223065 ,60.80%,11.41%,30089.03677,0,83985.33185,0.6," 3,735.00 "," 57,944.00 "," 2,058.00 "," 8,589.00 "," 7,147.00 "," 14,460.00 ", 121.00 ,4814,8321,4666,4033,0.064458788,0.035517051,0.148229325,0.123343228,0.249551291,0.002088223,0.083080215,0.14360417,0.080526025,0.069601684,328,11.5,13.8,17.5,29.2,30.1,23.3,27.1,10.2,11.7,29.2,42.4, 1 ,2791227," 56,273 ", 49.60 ,0.030550364,7136778,3447460,977056,529201,1545500,1343571,201929,6819816,1171292,1942660,8063953,326708,2422993,3526131,2241132,103151,2165096,7274295,6102006,50202706,"36,945","186,129",223074
Kansas,1991,36.39,25.28,11.58,8.65,4.31,1.58,0.22,0.56,0.77,0.61,95.27,0.428186224, 0.0223926 ,60.97%,15.69%,31356.60013,0.3,78241.27085,1," 2,146.00 "," 53,981.00 "," 1,769.00 "," 7,695.00 "," 7,889.00 "," 9,738.00 ", 990.00 ,4850,8480,6549,3874,0.039754729,0.03277079,0.142550157,0.146144014,0.180396806,0.018339786,0.089846427,0.15709231,0.121320465,0.071765992,279,11.1,12.0,15.2,19.9,19.9,21.0,27.9,9.8,11.8,20.8,28.9, 1 ,2495209," 82,278 ", 30.33 ,0.081534653,5249018,2796415,918211,429908,1093690,880740,212950,5125859,816831,1672742,6494480,219246,2444303,3313827,1850739,333271,2831131,7332294,6498569,47310950,"34,815","135,718",170533
Kentucky,1991,38.94,25.45,11.66,8.40,4.11,1.43,0.22,0.56,0.76,0.59,95.19,0.395955136, 0.0179644 ,50.56%,9.79%,27968.2182,0.1,103893.1486,0.9," 1,973.00 "," 71,679.00 "," 2,596.00 "," 8,466.00 "," 10,391.00 "," 18,372.00 "," 2,883.00 ",6287,10089,6745,3877,0.027525496,0.036217023,0.118109907,0.14496575,0.256309379,0.040220985,0.087710487,0.140752522,0.094100085,0.054088366,731,19.7,13.3,15.0,14.2,14.2,28.8,30.1,12.2,13.0,18.6,25.1, -   ,3714686," 40,408 ", 91.93 ,0.078391821,9951015,5043183,1299665,850806,2012690,1693339,319351,9047773,1936684,2323531,9692593,270765,2264130,4277068,1879330,1955106,3237619,8839916,8460783,60643068,"39,332","169,363",208695
Louisiana,1991,39.96,26.60,12.37,9.12,4.45,1.57,0.23,0.59,0.80,0.65,95.54,0.414332505, 0.0173460 ,50.68%,10.70%,32824.45586,-0.9,139206.8761,-0.2," 1,016.00 "," 96,043.00 "," 3,777.00 "," 10,267.00 "," 11,308.00 "," 16,736.00 "," 15,948.00 ",7154,13852,10845,5140,0.010578595,0.039326135,0.106900034,0.117738929,0.174255281,0.166050623,0.074487469,0.144227065,0.112918172,0.053517695,1043,24.5,7.8,9.4,16.2,18.1,18.0,18.7,6.0,7.1,15.2,18.8, 1 ,4240950," 52,378 ", 80.97 ,0.324938752,10764100,4309467,1308090,817715,1130251,803592,326659,10537155,1831817,3399867,7107425,272057,2813391,4573074,2274565,2517529,4172842,12339698,9769057,67719711,"77,647","165,881",243528
Maine,1991,35.57,23.09,10.33,7.32,3.65,1.28,0.20,0.53,0.72,0.53,96.12,0.451790058, 0.0242996 ,59.88%,12.70%,27428.34443,-3.3,33886.04641,-2.9, 433.00 ," 23,379.00 "," 1,054.00 "," 3,963.00 "," 3,774.00 "," 4,114.00 ", 9.00 ,2632,4181,1869,1350,0.018520895,0.045083194,0.1695111,0.161426922,0.175969888,0.000384961,0.112579666,0.178835707,0.079943539,0.057744129,167,13.5,18.3,21.0,9.1,10.2,25.6,28.6,10.5,12.0,52.6,60.5, -   ,1235439," 35,380 ", 34.92 ,0.014889444,3222152,1558231,497069,247705,656801,580748,76053,3514633,877679,978782,3221948,191206,785437,1816310,828013,5913,843599,3683062,3257555,21995830,"20,253","75,120",95373
Maryland,1991,36.90,24.54,10.99,7.87,3.70,1.25,0.22,0.54,0.75,0.59,95.49,0.398542244, 0.0197921 ,58.04%,17.02%,34451.78457,-3.2,167303.9294,-1.8," 1,001.00 "," 115,428.00 "," 6,455.00 "," 24,000.00 "," 21,843.00 "," 10,734.00 ", 115.00 ,10727,24954,8539,7058,0.008672073,0.055922307,0.207921821,0.189234848,0.092993035,0.000996292,0.092932391,0.216186714,0.073976851,0.061146342,583,11.8,14.2,16.9,10.4,10.4,27.4,29.6,11.3,12.1,22.0,29.8, -   ,4856176," 12,406 ", 391.44 ,0.287568449,12478513,6401428,1540887,1100831,3186508,2931020,255488,12576285,2107771,5406750,7697976,396325,4233302,7661943,4892639,92374,4366307,21868096,19340670,114751265,"83,054","161,587",244641
Massachusetts,1991,39.65,27.57,13.34,9.69,4.82,1.76,0.23,0.56,0.77,0.67,95.82,0.354765877, 0.0216721 ,63.00%,20.70%,38835.85251,-3,232962.7643,-3, 953.00 ," 160,728.00 "," 4,852.00 "," 37,753.00 "," 15,802.00 "," 28,106.00 ", 73.00 ,12598,38765,10823,11002,0.005929272,0.030187646,0.234887512,0.098315166,0.174866856,0.000454183,0.078380867,0.241183863,0.067337365,0.068451048,600,10.3,17.5,18.8,24.5,25.4,13.5,15.0,10.0,11.1,61.2,64.1, -   ,5998652," 10,554 ", 568.38 ,0.084366954,18734637,9683597,1909438,1037005,6062956,5343387,719569,20348875,5784674,4564818,21496139,562359,7151160,9679341,8799016,74493,5449060,34544936,15031796,141238542,"90,387","208,520",298907
Michigan,1991,38.43,26.10,11.65,8.73,4.35,1.59,0.22,0.55,0.76,0.60,96.75,0.395332702, 0.0189054 ,57.40%,11.38%,30502.90353,-2.7,286575.4497,-1.7," 2,101.00 "," 197,717.00 "," 7,022.00 "," 33,146.00 "," 24,589.00 "," 51,178.00 "," 1,154.00 ",17168,34214,14094,13051,0.010626299,0.035515408,0.167643652,0.124364622,0.258844712,0.005836625,0.086831178,0.173045312,0.071283703,0.066008487,1271,13.6,24.7,26.2,33.5,34.2,34.7,35.8,19.1,19.9,55.4,60.0, -   ,9395022," 96,714 ", 97.14 ,0.158901703,24504726,11103151,3190647,1322594,5380306,3787197,1593109,24036582,5125229,6330733,43848631,509259,8248093,12073942,6599303,417025,6964387,30239490,21643634,180155777,"109,948","273,017",382965
Minnesota,1991,36.32,25.32,11.85,8.81,4.42,1.64,0.22,0.55,0.76,0.63,95.87,0.392171638, 0.0220043 ,62.80%,14.56%,34734.97057,-1.2,153786.616,0," 2,939.00 "," 106,102.00 "," 4,313.00 "," 19,984.00 "," 12,343.00 "," 20,752.00 ", 614.00 ,9124,18953,9172,7911,0.027699761,0.040649564,0.188347062,0.116331455,0.19558538,0.005786884,0.085992724,0.178629998,0.086445119,0.074560329,561,13,21.5,22.9,44.1,45.4,19.9,20.9,15.0,16.0,56.6,60.3, -   ,4427429," 86,936 ", 50.93 ,0.053299104,13701385,7050698,1963433,1073993,3432825,2974554,458271,12730356,2375445,3797097,15805138,327384,5076359,6304699,4927810,412346,4827381,16323159,11010767,89548001,"49,814","255,516",305330
Mississippi,1991,38.84,25.23,11.28,7.55,3.64,1.18,0.21,0.57,0.78,0.56,95.28,0.383503049, 0.0171706 ,47.82%,9.42%,22856.44204,1.4,59226.29832,2.2," 1,151.00 "," 40,862.00 "," 1,318.00 "," 4,571.00 "," 6,795.00 "," 9,958.00 ", 628.00 ,3975,5153,4994,2318,0.02816798,0.032254907,0.111864324,0.16629142,0.243698302,0.015368802,0.097278645,0.126107386,0.12221624,0.056727522,671,24.6,8.2,9.9,5.0,5.0,19.2,20.8,7.8,8.8,9.6,14.6, 1 ,2591230," 48,432 ", 53.50 ,0.366026173,5794489,2460836,1120155,480823,619425,479602,139823,5171284,868399,1198564,6346901,183437,1229880,2502047,1072702,178204,1711155,4636424,5695232,36072135,"20,787","85,423",106210
Missouri,1991,37.55,25.76,12.06,9.09,4.65,1.77,0.23,0.56,0.77,0.64,95.87,0.380347312, 0.0213172 ,59.10%,13.13%,30676.40639,0.7,158221.8486,1.5," 1,811.00 "," 109,162.00 "," 4,147.00 "," 14,992.00 "," 13,356.00 "," 23,902.00 ", 359.00 ,9978,19940,12593,8084,0.016590022,0.03798941,0.137337169,0.122350268,0.218958978,0.00328869,0.091405434,0.182664297,0.115360657,0.074055074,795,15.7,14.1,15.6,37.1,38.7,19.0,21.1,13.1,13.9,20.6,26.3, -   ,5157770," 69,707 ", 73.99 ,0.120762461,10001999,4996388,1863374,639676,2053983,1829224,224759,9254189,1771716,3727435,15006524,340203,5218631,6837677,4651503,224401,6422497,17429518,11833020,95972532,"73,064","221,158",294222
Montana,1991,35.85,22.87,10.18,7.05,3.56,1.25,0.21,0.59,0.80,0.54,96.58,0.59838851, 0.0283150 ,58.42%,12.81%,24894.54664,1.3,20110.73587,2.5, 946.00 ," 13,875.00 ", 545.00 ," 1,593.00 "," 2,598.00 ", 980.00 , 925.00 ,1386,2356,1701,846,0.06818018,0.039279279,0.114810811,0.187243243,0.070630631,0.066666667,0.099891892,0.169801802,0.122594595,0.060972973,118,13.8,17.3,20.3,32.1,32.1,26.8,28.3,12.0,13.1,32.9,41.5, -   ,807837," 147,040 ", 5.49 ,0.069776452,2358921,817679,0,183377,353744,282960,70784,2384343,331119,536089,703189,85419,477060,1115536,370816,278149,838021,2069615,2163250,13256187,"13,982","66,130",80112
Nebraska,1991,33.44,22.64,10.63,7.99,4.13,1.58,0.22,0.57,0.77,0.60,95.51,0.424536346, 0.0238988 ,62.01%,13.43%,32447.89909,2.3,51618.28012,3.2," 3,300.00 "," 35,613.00 "," 1,190.00 "," 5,431.00 "," 5,674.00 "," 5,101.00 ", 90.00 ,2895,5535,3683,2714,0.092662792,0.033414764,0.152500491,0.159323842,0.143234212,0.002527167,0.08129054,0.155420773,0.103417291,0.076208126,169,10.6,10.8,15.9,7.7,12.1,18.7,23.7,6.7,9.8,27.6,41.6, 1 ,1590805," 77,348 ", 20.57 ,0.053556533,3435806,1767368,624259,335011,685060,603112,81948,3266203,594398,1041919,3109229,184900,1600171,2045172,1509538,73381,2054895,4851926,4522177,30327262,"23,781","110,252",134033
Nevada,1991,44.34,33.25,19.86,15.85,9.95,5.07,0.27,0.58,0.80,0.92,93.45,0.343636135, 0.0218598 ,58.87%,11.03%,36979.81471,-3.7,47520.76298,2.2, 239.00 ," 32,786.00 "," 2,072.00 "," 4,632.00 "," 4,067.00 "," 1,245.00 "," 1,623.00 ",3197,11479,2667,1566,0.007289697,0.063197706,0.141279815,0.124046849,0.037973525,0.049502837,0.097511133,0.350118953,0.081345696,0.04776429,199,14.7,18.3,21.4,17.7,21.6,7.7,7.7,14.2,16.1,39.6,48.8, 1 ,1285046," 110,572 ", 11.62 ,0.120436934,3552707,1682602,826288,610466,0,0,0,3435503,262459,1784444,903855,91344,913522,2065480,904243,671260,1311820,8981324,3504966,27487103,"17,130","47,204",64334
New Hampshire,1991,37.36,25.70,12.14,9.30,5.01,2.05,0.22,0.55,0.76,0.62,94.99,0.429266877, 0.0253447 ,64.01%,17.44%,32421.19589,0.8,35892.04702,0.6, 181.00 ," 24,763.00 ", 902.00 ," 5,763.00 "," 2,595.00 "," 5,314.00 ", 20.00 ,2268,4766,1603,1349,0.007309292,0.036425312,0.232726245,0.104793442,0.214594354,0.000807657,0.091588257,0.192464564,0.064733675,0.054476437,97,8.7,11.6,13.2,4.4,4.4,9.0,9.7,6.5,7.4,41.7,47.9, -   ,1107055," 9,349 ", 118.41 ,0.016671258,2088359,624627,0,312063,159154,36949,122205,2135163,398299,923581,3769494,84716,891427,1781503,987395,14768,735897,4117724,2271879,23788602,"13,067","55,636",68703
New Jersey,1991,41.29,28.56,14.07,9.96,4.93,1.79,0.24,0.56,0.78,0.71,96.63,0.38532341, 0.0236250 ,61.51%,18.11%,41320.33118,-0.9,321648.573,-0.3," 1,032.00 "," 221,915.00 "," 8,343.00 "," 49,141.00 "," 24,012.00 "," 35,987.00 ", 109.00 ,17251,45782,20504,19754,0.004650429,0.037595476,0.221440642,0.108203591,0.162165694,0.000491179,0.077736971,0.206304216,0.092395737,0.089016065,803,10.3,24.3,26.1,38.2,39.7,24.8,26.6,17.1,18.4,60.4,64.6, -   ,7784269," 8,723 ", 892.38 ,0.18087453,24743271,11644652,4042805,2320797,4421646,3391026,1030620,23250454,4185677,6750974,25900604,526129,12014865,11930411,9887798,174584,10834047,38770581,22762147,196000492,"160,893","230,201",391094
New Mexico,1991,37.34,24.05,9.82,6.73,3.20,1.02,0.21,0.58,0.79,0.54,94.71,0.471796911, 0.0204838 ,54.64%,13.45%,28382.02187,9,43910.25176,11.4, 685.00 ," 30,295.00 "," 1,082.00 "," 3,333.00 "," 6,350.00 "," 3,659.00 "," 2,782.00 ",2816,5426,2816,1347,0.022610992,0.035715465,0.110018155,0.209605545,0.120779006,0.091830335,0.092952632,0.179105463,0.092952632,0.044462783,348,21.6,8.9,11.0,12.8,14.1,12.9,14.2,6.9,7.7,13.3,18.4, -   ,1547115," 121,590 ", 12.72 ,0.12426678,4912601,2085690,939242,311200,418444,369455,48989,4526761,537590,941029,1325874,104462,746318,1873153,705172,676677,1230394,4552256,5420086,24675575,"16,747","90,011",106758
New York,1991,42.65,30.93,17.03,12.72,7.06,3.02,0.27,0.59,0.81,0.86,97.44,0.378818962, 0.0224557 ,58.10%,15.99%,39981.62245,-3.6,720849.9413,-3.1," 2,300.00 "," 497,336.00 "," 16,735.00 "," 133,662.00 "," 57,808.00 "," 66,595.00 ", 384.00 ,35106,110878,41454,32412,0.00462464,0.033649283,0.268755932,0.116235302,0.133903438,0.000772114,0.070588093,0.222943845,0.0833521,0.065171232,2820,15.7,29.2,31.5,41.5,43.4,24.8,26.2,19.0,20.9,69.4,73.4, -   ,18029532," 54,555 ", 330.48 ,0.217125214,65715331,28299769,5751832,3934294,16512391,14482059,2030332,64320860,17015247,13778623,47643578,852815,20356870,23347653,47360901,303166,19952979,97865685,61685989,432623921,"297,209","621,402",918611
North Carolina,1991,37.06,24.87,11.01,8.09,3.99,1.42,0.22,0.54,0.75,0.60,96.11,0.346424831, 0.0202097 ,52.47%,12.06%,31437.96163,-1.6,212147.6092,0.1," 3,464.00 "," 146,367.00 "," 5,501.00 "," 17,713.00 "," 20,832.00 "," 43,330.00 ", 227.00 ,12947,20082,12781,9490,0.023666537,0.037583608,0.121017716,0.142327164,0.296036675,0.001550896,0.088455731,0.137203058,0.087321596,0.064837019,1080,15.8,5.2,6.7,1.6,1.8,4.9,5.7,3.6,4.3,14.3,20.2, 1 ,6748135," 53,819 ", 125.39 ,0.241961668,15266228,7850043,1689871,1436499,4034432,3534474,499958,15036215,2361902,5254421,24987283,486990,5738833,8931287,4309841,207394,6065563,17774315,17634106,120936223,"95,960","278,868",374828
North Dakota,1991,35.14,22.68,9.94,6.93,3.32,1.09,0.20,0.57,0.77,0.52,95.37,0.532194253, 0.0258471 ,57.29%,12.88%,26719.05402,0,16945.19734,-0.3," 1,028.00 "," 11,691.00 ", 437.00 ," 1,443.00 "," 2,206.00 ", 802.00 , 525.00 ,1113,1916,1225,996,0.087930887,0.037379181,0.123428278,0.188692156,0.068599778,0.044906338,0.095201437,0.16388675,0.104781456,0.085193739,74,12.1,9.5,11.6,12.4,13.9,19.9,21.9,5.6,6.5,21.7,27.7, 1 ,634199," 70,698 ", 8.97 ,0.053532093,1966441,755054,235255,184538,165184,114273,50911,1792841,255754,395452,488821,47029,581257,752530,333387,175979,687276,1661013,1818059,10410081,"7,609","48,529",56138
Ohio,1991,36.35,24.76,11.70,8.77,4.42,1.65,0.21,0.53,0.73,0.60,96.23,0.362959176, 0.0184197 ,58.21%,12.54%,31016.86845,-1.5,339128.6073,-0.7," 2,284.00 "," 233,975.00 "," 8,681.00 "," 33,665.00 "," 26,772.00 "," 63,457.00 "," 1,153.00 ",21035,40819,20284,15827,0.009761727,0.037102255,0.143882893,0.114422481,0.271212736,0.004927877,0.089902767,0.17445881,0.086693023,0.067643979,1398,12.5,20.7,22.4,25.0,26.0,32.4,33.8,16.4,17.4,45.0,50.8, -   ,10933683," 44,826 ", 243.91 ,0.119041406,31721463,11555584,3574539,2228673,4847383,4217200,630183,27790759,5712108,8066692,44827926,635319,10027219,14540046,8424885,690624,9042143,36139187,23826970,207192639,"142,816","357,928",500744
Oklahoma,1991,37.32,24.73,11.31,8.28,4.10,1.46,0.22,0.58,0.78,0.60,95.81,0.433785835, 0.0202913 ,56.67%,12.85%,27295.98877,-0.3,86431.95687,0.5," 1,445.00 "," 59,632.00 "," 1,583.00 "," 6,720.00 "," 10,582.00 "," 10,714.00 "," 3,821.00 ",5847,9169,6144,3607,0.024231956,0.02654615,0.112691173,0.177455058,0.179668634,0.064076335,0.098051382,0.153759726,0.103031929,0.060487658,607,18.6,10.2,11.5,13.5,13.5,15.6,16.5,6.0,6.4,26.1,30.4, -   ,3166471," 69,899 ", 45.30 ,0.168348297,7819349,3861985,963548,695200,1355861,1218279,137582,7266779,1263277,1621071,6323819,198717,2089172,3719510,1729758,1947668,2967265,8045077,8506997,52474225,"46,142","187,232",233374
Oregon,1991,37.70,25.83,11.64,8.68,4.31,1.57,0.22,0.55,0.76,0.61,95.97,0.460983863, 0.0246744 ,60.56%,14.46%,29517.86373,-0.7,86155.11719,1.7," 1,953.00 "," 59,441.00 "," 2,729.00 "," 8,896.00 "," 8,464.00 "," 11,033.00 ", 76.00 ,5585,10578,5416,4711,0.032856109,0.045911071,0.149661008,0.142393298,0.185612624,0.001278579,0.093958715,0.177957975,0.09111556,0.07925506,346,11.4,19.0,21.9,34.7,39.0,17.3,18.2,12.7,14.3,51.9,61.4, -   ,2918745," 98,379 ", 29.67 ,0.057091661,8201014,3029829,0,424301,2132779,1983705,149074,7248922,1144097,2506256,7840135,488304,2905636,4487996,2183099,79629,2730671,9306655,7781413,54360166,"55,489","179,389",234878
Pennsylvania,1991,38.28,26.77,12.45,9.29,4.65,1.71,0.23,0.55,0.76,0.64,96.47,0.371765604, 0.0194679 ,60.91%,13.22%,30966.59252,-0.4,369838.9692,0.3," 2,578.00 "," 255,163.00 "," 10,748.00 "," 44,624.00 "," 28,975.00 "," 52,501.00 "," 1,636.00 ",22836,54093,21151,16023,0.010103346,0.042122095,0.17488429,0.113554865,0.205754753,0.006411588,0.089495734,0.211993902,0.082892112,0.062795154,1425,11.9,20.3,22.2,30.0,31.2,28.6,29.5,15.5,16.6,50.2,57.0, -   ,11943160," 46,054 ", 259.33 ,0.107411857,27085979,13021344,4197700,2346759,4286622,3274656,1011966,26709513,6115065,10243037,38329996,818820,10489747,16335691,10910043,1724246,11596897,48030002,25785500,242826180,"120,046","422,094",542140
Rhode Island,1991,40.06,27.92,13.03,9.82,5.03,1.92,0.22,0.55,0.76,0.63,94.81,0.425165783, 0.0241647 ,57.15%,15.61%,31382.32875,-4,31507.54424,-3.6, 169.00 ," 21,738.00 ", 765.00 ," 4,969.00 "," 2,797.00 "," 4,238.00 ", 9.00 ,1888,4460,1324,1118,0.007774404,0.03519183,0.228585886,0.128668691,0.194958138,0.000414022,0.086852516,0.205170669,0.060907167,0.051430674,119,12.4,20.8,22.0,23.7,23.7,12.7,13.4,11.8,12.3,65.7,71.0, -   ,1003990," 1,545 ", 649.83 ,0.067894103,3103933,1256652,448402,228564,475213,429247,45966,3287625,651329,669584,3102962,99791,680805,1310211,939675,4173,545127,3940922,2541352,20434051,"16,554","29,034",45588
South Carolina,1991,36.70,23.85,10.32,7.28,3.51,1.17,0.21,0.54,0.75,0.55,95.49,0.353184802, 0.0188376 ,51.27%,11.74%,27689.71885,-1.1,98560.72355,0.9, 881.00 ," 68,000.00 "," 3,351.00 "," 8,133.00 "," 12,431.00 "," 17,821.00 ", 150.00 ,6461,9236,5759,3777,0.012955882,0.049279412,0.119602941,0.182808824,0.262073529,0.002205882,0.095014706,0.135823529,0.084691176,0.055544118,697,19,5.2,6.2,3.1,3.1,6.4,6.7,4.1,4.4,10.3,14.1, 1 ,3559470," 32,020 ", 111.16 ,0.308263028,9288857,3933214,1437473,655954,1538081,1386648,151433,8970344,1538128,3049753,11661256,235687,1933723,4441133,1931718,71274,2505967,7943505,10056273,58482729,"38,216","108,735",146951
South Dakota,1991,34.91,23.43,11.62,8.66,4.81,1.99,0.22,0.59,0.79,0.63,95.51,0.513094642, 0.0262780 ,56.82%,12.22%,28383.21773,3.9,19909.26616,4.9," 1,504.00 "," 13,736.00 ", 492.00 ," 2,398.00 "," 2,212.00 "," 1,453.00 ", 209.00 ,1355,2068,1154,891,0.109493302,0.035818288,0.174577752,0.161036692,0.105780431,0.015215492,0.098645894,0.150553291,0.084012813,0.064866045,106,15.1,8.9,11.8,7.9,9.0,10.4,13.1,4.5,5.7,25.1,34.1, 1 ,701445," 77,116 ", 9.10 ,0.083747122,1597245,528248,247974,152621,38578,0,38578,1416513,212120,448618,915219,104192,523270,919476,454899,115332,554535,1770593,1842319,11992985,"9,898","60,046",69944
Tennessee,1991,39.97,27.03,12.84,9.64,4.88,1.83,0.23,0.57,0.77,0.65,95.24,0.347088812, 0.0189203 ,51.05%,10.75%,29653.63317,2.1,146693.1428,3.6," 1,325.00 "," 101,208.00 "," 3,531.00 "," 12,292.00 "," 13,833.00 "," 24,680.00 ", 411.00 ,10474,18526,8700,7437,0.01309185,0.034888546,0.12145285,0.136678919,0.243854241,0.004060944,0.103489843,0.183048771,0.085961584,0.073482333,858,17,11.0,12.9,8.8,9.7,18.1,20.8,8.6,9.7,23.6,29.4, 1 ,4946886," 42,144 ", 117.38 ,0.169672598,9544386,4310573,2363252,936448,442575,97033,345542,9237787,1977532,3523072,16009632,275500,4415730,6674797,3326627,302303,4705625,15753827,10893178,86089981,"25,393","191,305",216698
Texas,1991,40.54,28.51,13.79,10.36,5.37,2.08,0.25,0.62,0.85,0.73,96.93,0.364116874, 0.0187707 ,52.24%,13.00%,32898.39285,-0.4,570454.9737,1.6," 6,407.00 "," 393,574.00 "," 15,683.00 "," 53,772.00 "," 50,573.00 "," 57,439.00 "," 34,219.00 ",36004,70047,40280,29152,0.016279022,0.039847653,0.136624879,0.128496801,0.145942059,0.08694426,0.09147962,0.177976696,0.102344159,0.074069933,3282,18.3,6.5,8.2,5.0,5.3,10.6,13.1,4.8,5.8,14.2,19.0, -   ,17339904," 268,596 ", 64.56 ,0.145970704,33772746,16016913,8294921,4582330,0,0,0,29525988,5393405,14209874,37804578,1403448,17545924,23769105,14593035,9657878,18577821,60742512,41856578,309983300,"166,531","682,614",849145
Utah,1991,35.38,24.33,11.55,8.78,4.63,1.84,0.22,0.56,0.77,0.61,94.30,0.390014441, 0.0184943 ,54.28%,12.04%,27403.33905,1,48557.1,3.8, 449.00 ," 33,501.00 "," 1,417.00 "," 4,213.00 "," 6,296.00 "," 4,918.00 "," 1,457.00 ",3101,6369,3186,2095,0.013402585,0.042297245,0.12575744,0.187934689,0.146801588,0.043491239,0.092564401,0.190113728,0.095101639,0.062535447,172,9.4,9.4,12.3,7.7,9.9,6.1,6.8,5.6,6.7,21.9,31.1, 1 ,1771941," 84,897 ", 20.87 ,0.042706275,4343966,1860817,739633,203805,797378,714915,82463,4108339,533666,1284778,3453994,63972,1340077,2032173,1097482,386674,1734930,5481364,5050596,27623517,"25,617","80,229",105846
Vermont,1991,36.17,23.99,9.90,7.01,3.36,1.12,0.21,0.55,0.75,0.53,96.00,0.516510179, 0.0311624 ,61.24%,15.91%,29985.61747,-3.4,17006.07308,-2.7, 262.00 ," 11,733.00 ", 511.00 ," 2,120.00 "," 1,435.00 "," 2,538.00 ", 35.00 ,1102,2214,824,691,0.02233018,0.043552374,0.180686951,0.122304611,0.216312963,0.002983039,0.093923123,0.188698543,0.070229268,0.058893719,61,10.5,11.6,14.5,10.4,11.6,7.5,10.1,5.4,6.6,41.4,52.3, -   ,567141," 9,616 ", 58.98 ,0.012427245,1703027,684519,125611,187657,284904,257517,27387,1735886,345516,522953,1660731,55966,392545,796818,390405,19098,399373,1886875,1280284,10386332,"9,850","37,105",46955
